,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Age,90 Mins,Goals,Shots,Shots_on_targ,Expected_goals,Age_Group,Physical_Category
253,253,245,Nicolas Jackson,SEN,FW,Chelsea,22.0,23.2,9.0,57.0,28.0,13.4,17-25 (Younger),More Physical
254,254,246,Reece James,ENG,DF,Chelsea,24.0,4.3,0.0,7.0,1.0,0.3,17-25 (Younger),More Physical
255,255,247,Vitaly Janelt,GER,"MF,DF",Brentford,25.0,28.7,0.0,18.0,5.0,1.5,17-25 (Younger),More Physical
256,256,248,Mathias Jensen,DEN,MF,Brentford,28.0,20.6,3.0,12.0,6.0,0.6,26-39 (Older),Less Physical
257,257,249,Gabriel Jesus,BRA,FW,Arsenal,27.0,14.2,4.0,49.0,18.0,6.0,26-39 (Older),Less Physical
258,258,250,Raúl Jiménez,MEX,FW,Fulham,32.0,14.2,5.0,37.0,15.0,4.5,26-39 (Older),Less Physical
260,260,251,João Pedro,BRA,"FW,MF",Brighton,22.0,16.8,8.0,50.0,18.0,8.7,17-25 (Younger),More Physical
261,261,252,Joelinton,BRA,"MF,FW",Newcastle Utd,27.0,12.6,2.0,15.0,5.0,2.3,26-39 (Older),Less Physical
262,262,253,Ryan John Giles,ENG,"DF,MF",Luton Town,24.0,5.6,0.0,2.0,2.0,0.1,17-25 (Younger),More Physical
263,263,254,Ben Johnson,ENG,"DF,FW",West Ham,24.0,5.3,0.0,6.0,2.0,0.2,17-25 (Younger),More Physical
264,264,255,Brennan Johnson,WAL,FW,Tottenham,22.0,16.6,5.0,39.0,17.0,7.8,17-25 (Younger),More Physical
265,265,256,Brennan Johnson,WAL,"FW,MF",Nott'ham Forest,22.0,2.6,0.0,3.0,0.0,0.3,17-25 (Younger),More Physical
266,266,257,Sam Johnstone,ENG,GK,Crystal Palace,31.0,20.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
267,267,258,Curtis Jones,ENG,MF,Liverpool,23.0,11.1,1.0,15.0,4.0,1.8,17-25 (Younger),More Physical
268,268,259,Jorginho,ITA,MF,Arsenal,32.0,9.9,0.0,4.0,0.0,0.1,26-39 (Older),Less Physical
269,269,260,Diogo Jota,POR,FW,Liverpool,27.0,11.6,9.0,36.0,17.0,4.4,26-39 (Older),Less Physical
270,270,261,Mads Juel Andersen,DEN,DF,Luton Town,26.0,4.4,1.0,3.0,1.0,0.3,26-39 (Older),More Physical
271,271,262,Hamed Junior Traorè,CIV,MF,Bournemouth,24.0,0.5,0.0,3.0,2.0,0.2,17-25 (Younger),More Physical
272,272,263,Mathias Jørgensen,DEN,DF,Brentford,33.0,10.1,1.0,8.0,2.0,0.7,26-39 (Older),Less Physical
273,273,264,Issa Kaboré,BFA,DF,Luton Town,22.0,18.8,0.0,6.0,1.0,0.2,17-25 (Younger),More Physical
274,274,265,Sasa Kalajdzic,AUT,FW,Wolves,26.0,1.8,2.0,4.0,2.0,1.1,26-39 (Older),More Physical
275,275,266,Boubacar Kamara,FRA,MF,Aston Villa,24.0,18.4,0.0,5.0,1.0,0.1,17-25 (Younger),More Physical
276,276,267,Willy Kambwala,FRA,DF,Manchester Utd,19.0,2.5,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
277,277,268,Thomas Kaminski,BEL,GK,Luton Town,31.0,32.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
278,278,269,Loris Karius,GER,GK,Newcastle Utd,30.0,1.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
279,279,270,Michael Keane,ENG,DF,Everton,31.0,4.5,1.0,6.0,4.0,0.7,26-39 (Older),Less Physical
280,280,271,Thilo Kehrer,GER,"DF,MF",West Ham,27.0,0.2,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
281,281,272,Caoimhín Kelleher,IRL,GK,Liverpool,25.0,10.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
282,282,273,Lloyd Kelly,ENG,DF,Bournemouth,25.0,13.6,0.0,3.0,1.0,0.3,17-25 (Younger),More Physical
283,283,274,Omari Kellyman,ENG,FW,Aston Villa,18.0,0.2,0.0,1.0,0.0,0.1,17-25 (Younger),More Physical
284,284,275,Milos Kerkez,HUN,DF,Bournemouth,20.0,18.0,0.0,9.0,3.0,0.4,17-25 (Younger),More Physical
286,286,276,Kaine Kesler-Hayden,ENG,DF,Aston Villa,21.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
287,287,277,Max Kilman,ENG,DF,Wolves,26.0,31.0,2.0,12.0,5.0,1.8,26-39 (Older),More Physical
288,288,278,Jakub Kiwior,POL,DF,Arsenal,24.0,9.5,1.0,6.0,2.0,0.8,17-25 (Younger),More Physical
289,289,279,Justin Kluivert,NED,"MF,FW",Bournemouth,24.0,15.5,5.0,37.0,13.0,4.3,17-25 (Younger),More Physical
290,290,280,Luca Koleosho,ITA,"MF,FW",Burnley,19.0,10.8,1.0,23.0,5.0,2.0,17-25 (Younger),More Physical
291,291,281,Ibrahima Konaté,FRA,DF,Liverpool,24.0,15.8,0.0,9.0,2.0,0.5,17-25 (Younger),More Physical
292,292,282,Ezri Konsa,ENG,DF,Aston Villa,26.0,28.1,1.0,17.0,5.0,2.4,26-39 (Older),More Physical
293,293,283,Cheikhou Kouyaté,SEN,MF,Nott'ham Forest,34.0,2.3,0.0,5.0,1.0,0.3,26-39 (Older),Less Physical
294,294,284,Mateo Kovačić,CRO,MF,Manchester City,29.0,11.8,0.0,14.0,3.0,0.8,26-39 (Older),Less Physical
295,295,285,Emil Krafth,SWE,DF,Newcastle Utd,29.0,3.6,0.0,2.0,0.0,0.2,26-39 (Older),Less Physical
296,296,286,Dejan Kulusevski,SWE,"FW,MF",Tottenham,23.0,25.4,6.0,44.0,17.0,3.5,17-25 (Younger),More Physical
297,297,287,Adam Lallana,ENG,MF,Brighton,35.0,8.2,0.0,8.0,2.0,0.5,26-39 (Older),Less Physical
298,298,288,Tariq Lamptey,GHA,"DF,FW",Brighton,23.0,8.5,0.0,6.0,0.0,0.4,17-25 (Younger),More Physical
299,299,289,Aymeric Laporte,ESP,DF,Manchester City,29.0,0.1,0.0,1.0,1.0,0.0,26-39 (Older),Less Physical
300,300,290,Yasser Larouci,ALG,DF,Sheffield Utd,23.0,4.7,0.0,5.0,1.0,0.2,17-25 (Younger),More Physical
301,301,291,Jamaal Lascelles,ENG,DF,Newcastle Utd,30.0,12.0,1.0,6.0,1.0,0.7,26-39 (Older),Less Physical
302,302,292,Roméo Lavia,BEL,MF,Chelsea,20.0,0.4,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
303,303,293,Mario Lemina,GAB,MF,Wolves,30.0,27.0,4.0,41.0,15.0,4.4,26-39 (Older),Less Physical
304,304,294,Clément Lenglet,FRA,DF,Aston Villa,28.0,11.8,0.0,8.0,2.0,0.9,26-39 (Older),Less Physical
305,305,295,Bernd Leno,GER,GK,Fulham,32.0,32.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
306,306,296,Jefferson Lerma,COL,MF,Crystal Palace,29.0,25.5,1.0,34.0,9.0,2.7,26-39 (Older),Less Physical
307,307,297,Rico Lewis,ENG,"DF,MF",Manchester City,19.0,7.8,2.0,5.0,4.0,0.6,17-25 (Younger),More Physical
308,308,298,Keane Lewis-Potter,ENG,"DF,FW",Brentford,23.0,13.4,2.0,33.0,14.0,4.3,17-25 (Younger),More Physical
309,309,299,Victor Lindelöf,SWE,DF,Manchester Utd,29.0,14.8,1.0,6.0,4.0,0.8,26-39 (Older),Less Physical
310,310,300,Valentino Livramento,ENG,DF,Newcastle Utd,21.0,11.5,1.0,3.0,1.0,0.3,17-25 (Younger),More Physical
312,312,301,Giovani Lo Celso,ARG,MF,Tottenham,27.0,5.1,2.0,10.0,5.0,0.5,26-39 (Older),Less Physical
313,313,302,Tom Lockyer,WAL,DF,Luton Town,29.0,13.0,1.0,7.0,1.0,1.1,26-39 (Older),Less Physical
314,314,303,Sean Longstaff,ENG,MF,Newcastle Utd,26.0,24.1,4.0,31.0,11.0,4.4,26-39 (Older),More Physical
315,315,304,Max Lowe,ENG,"DF,MF",Sheffield Utd,26.0,4.4,0.0,2.0,0.0,0.6,26-39 (Older),More Physical
316,316,305,Douglas Luiz,BRA,MF,Aston Villa,25.0,29.6,9.0,43.0,13.0,6.8,17-25 (Younger),More Physical
317,317,306,Saša Lukić,SRB,MF,Fulham,27.0,9.4,1.0,10.0,3.0,1.4,26-39 (Older),Less Physical
318,318,307,Ian Maatsen,NED,"FW,MF",Chelsea,22.0,2.3,0.0,5.0,0.0,0.8,17-25 (Younger),More Physical
319,319,308,Alexis Mac Allister,ARG,MF,Liverpool,25.0,23.1,4.0,32.0,6.0,2.6,17-25 (Younger),More Physical
320,320,309,James Maddison,ENG,MF,Tottenham,27.0,18.6,4.0,45.0,19.0,4.6,26-39 (Older),Less Physical
321,321,310,Noni Madueke,ENG,FW,Chelsea,22.0,5.1,3.0,16.0,6.0,1.4,17-25 (Younger),More Physical
322,322,311,Harry Maguire,ENG,DF,Manchester Utd,31.0,15.4,1.0,18.0,2.0,1.9,26-39 (Older),Less Physical
323,323,312,Kobbie Mainoo,ENG,MF,Manchester Utd,18.0,15.1,2.0,7.0,4.0,0.3,17-25 (Younger),More Physical
324,324,313,Orel Mangala,BEL,MF,Nott'ham Forest,26.0,17.4,1.0,10.0,1.0,0.8,26-39 (Older),More Physical
325,325,314,Benson Manuel,BEL,"MF,FW",Burnley,27.0,1.1,0.0,4.0,2.0,0.1,26-39 (Older),Less Physical
326,326,315,Solly March,ENG,"FW,DF",Brighton,29.0,6.2,3.0,14.0,6.0,2.0,26-39 (Older),Less Physical
327,327,316,Anthony Martial,FRA,FW,Manchester Utd,28.0,5.0,1.0,6.0,4.0,1.2,26-39 (Older),Less Physical
328,328,317,Gabriel Martinelli,BRA,FW,Arsenal,22.0,20.1,6.0,50.0,15.0,5.7,17-25 (Younger),More Physical
329,329,318,Emiliano Martínez,ARG,GK,Aston Villa,31.0,30.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
330,330,319,Lisandro Martínez,ARG,DF,Manchester Utd,26.0,6.4,0.0,0.0,0.0,0.0,26-39 (Older),More Physical
331,331,320,Han-Noah Massengo,FRA,"MF,DF",Burnley,22.0,0.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
332,332,321,Pape Matar Sarr,SEN,MF,Tottenham,21.0,18.0,3.0,32.0,12.0,2.9,17-25 (Younger),More Physical
333,333,322,Jean-Philippe Mateta,FRA,FW,Crystal Palace,26.0,19.5,7.0,28.0,13.0,5.8,26-39 (Older),More Physical
334,334,323,Joël Matip,CMR,DF,Liverpool,32.0,8.7,0.0,5.0,0.0,0.5,26-39 (Older),Less Physical
335,335,324,Alex Matos,ENG,MF,Chelsea,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
336,336,325,Remi Matthews,ENG,GK,Crystal Palace,30.0,0.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
338,338,326,Neal Maupay,FRA,FW,Brentford,27.0,13.5,6.0,34.0,14.0,5.3,26-39 (Older),Less Physical
339,339,327,Neal Maupay,FRA,FW,Everton,27.0,1.2,0.0,5.0,4.0,1.4,26-39 (Older),Less Physical
340,340,328,Konstantinos Mavropanos,GRE,DF,West Ham,26.0,15.0,1.0,10.0,1.0,1.1,26-39 (Older),More Physical
341,341,329,Bryan Mbeumo,CMR,FW,Brentford,24.0,15.8,8.0,42.0,14.0,9.0,17-25 (Younger),More Physical
342,342,330,James Mcatee,ENG,"MF,FW",Sheffield Utd,21.0,18.3,3.0,22.0,7.0,2.9,17-25 (Younger),More Physical
343,343,331,James Mcatee,ENG,MF,Manchester City,21.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
344,344,332,Oliver McBurnie,SCO,FW,Sheffield Utd,27.0,12.4,6.0,26.0,13.0,5.8,26-39 (Older),Less Physical
345,345,333,James McConnell,ENG,MF,Liverpool,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
346,346,334,John McGinn,SCO,"MF,FW",Aston Villa,29.0,27.4,6.0,35.0,14.0,4.3,26-39 (Older),Less Physical
347,347,335,Scott McKenna,SCO,DF,Nott'ham Forest,27.0,4.6,0.0,2.0,0.0,0.2,26-39 (Older),Less Physical
348,348,336,Dwight McNeil,ENG,"MF,FW",Everton,24.0,25.4,2.0,47.0,11.0,3.0,17-25 (Younger),More Physical
349,349,337,Scott McTominay,SCO,"MF,FW",Manchester Utd,27.0,17.5,7.0,36.0,17.0,5.1,26-39 (Older),Less Physical
350,350,338,Ben Mee,ENG,DF,Brentford,34.0,14.1,2.0,10.0,2.0,1.5,26-39 (Older),Less Physical
351,351,339,Hannibal Mejbri,TUN,"MF,FW",Manchester Utd,21.0,1.5,1.0,1.0,1.0,0.0,17-25 (Younger),More Physical
352,352,340,Teden Mengi,ENG,DF,Luton Town,21.0,23.3,1.0,8.0,3.0,0.4,17-25 (Younger),More Physical
353,353,341,Chris Mepham,WAL,DF,Bournemouth,26.0,6.9,0.0,1.0,1.0,0.1,26-39 (Older),More Physical
354,354,342,Lewis Miley,ENG,MF,Newcastle Utd,17.0,13.4,1.0,13.0,3.0,1.2,17-25 (Younger),More Physical
355,355,343,James Milner,ENG,"DF,MF",Brighton,38.0,8.6,0.0,5.0,1.0,0.3,26-39 (Older),Less Physical
356,356,344,Tyrone Mings,ENG,DF,Aston Villa,31.0,0.3,0.0,1.0,0.0,0.0,26-39 (Older),Less Physical
357,357,345,Tyrick Mitchell,ENG,"DF,MF",Crystal Palace,24.0,28.9,1.0,5.0,2.0,0.7,17-25 (Younger),More Physical
358,358,346,Kaoru Mitoma,JPN,FW,Brighton,26.0,16.5,3.0,34.0,15.0,3.5,26-39 (Older),More Physical
359,359,347,Aleksandar Mitrović,SRB,FW,Fulham,29.0,0.4,0.0,2.0,1.0,0.2,26-39 (Older),Less Physical
360,360,348,Jakub Moder,POL,MF,Brighton,25.0,4.1,0.0,7.0,1.0,0.4,17-25 (Younger),More Physical
361,361,349,Kudus Mohammed,GHA,"FW,MF",West Ham,23.0,21.7,7.0,52.0,13.0,3.9,17-25 (Younger),More Physical
